Price,Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,predicted_rent
210000,80,1,2,0,0,1,0,0,808.2391960668149
450000,212,4,4,0,0,1,0,0,2468.341751429769
297500,675,0,4,0,0,1,0,0,5750.660537230321
320000,136,2,4,0,0,0,1,0,1802.9012527435805
180000,146,3,4,0,0,1,0,0,1781.9451192801996
375000,180,0,4,0,0,1,0,0,1646.3783768074597
110000,56,2,2,0,0,1,0,0,748.4027081395003
750000,258,3,11,0,0,0,1,0,3472.146696227075
225000,140,3,5,0,0,1,0,0,1806.271384760388
535000,237,3,3,0,0,1,0,0,2462.3945783170684
180000,211,0,2,0,0,1,0,0,1755.263948974425
165000,280,0,5,0,0,1,0,0,2549.6014281559783
219800,100,2,4,0,0,1,0,0,1261.3780693699382
340000,215,5,4,0,0,1,0,0,2632.375199525519
330000,215,5,4,0,0,1,0,0,2632.375199525519
283100,352,3,5,0,0,1,0,0,3564.064956497048
360000,140,0,3,0,0,1,0,0,1240.644072176864
440000,220,4,3,0,0,1,0,0,2460.598444173511
250000,308,0,5,0,0,1,0,0,2781.7628432910087
850000,520,5,5,0,0,1,0,0,5235.35146882694
255000,984,0,8,0,0,1,0,0,8609.028143435546
79900,438,0,2,0,0,1,0,0,3637.4297073905655
1050000,380,5,5,0,0,0,1,0,4317.574328494676
137500,42,1,1,0,0,0,1,0,662.117785003039
261250,80,2,3,0,0,1,0,0,1021.4733469786499
110000,103,0,3,0,0,1,0,0,933.859345034145
249000,522,0,3,0,0,1,0,0,4407.989092947639
95000,102,2,2,0,0,1,0,0,1129.8107472899076
720000,330,4,3,0,0,1,0,0,3372.6611464897032
430000,193,3,3,0,0,1,0,0,2097.569497390592
85000,81,0,3,0,0,1,0,0,751.4468045709068
160000,191,0,2,0,0,1,0,0,1589.4343667351175
310000,331,3,4,0,0,1,0,0,3315.868754993794
190000,133,0,3,0,0,1,0,0,1182.6037183931062
167500,100,2,3,0,0,1,0,0,1187.3029292179576
398500,228,4,4,0,0,1,0,0,2601.005417221215
266000,151,2,3,0,0,1,0,0,1610.1683639281916
69000,74,0,3,0,0,1,0,0,693.4064507871491
349900,284,0,3,0,0,1,0,0,2434.617064299878
450000,2700,5,5,0,0,1,0,0,23310.77593291146
308000,152,3,3,0,0,1,0,0,1757.6188538000113
169000,65,2,2,0,0,1,0,0,823.0260201471887
87500,93,0,4,0,0,1,0,0,925.0196940664719
60000,180,1,2,0,0,1,0,0,1637.3871072633526
870000,278,4,3,0,0,1,0,0,2941.504232667503
545000,220,2,3,0,0,0,1,0,2425.310357996692
159900,500,0,4,0,0,1,0,0,4299.65169263638
175000,336,1,3,0,0,1,0,0,3004.932988881932
